tag,step,wall_time,value,event_file
Episode_Reward/action_rate_l2,92099,1788217671.2995892,-0.00037424376932904124,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92100,1788217672.0990815,-0.0014381938381120563,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92101,1788217672.7366903,-0.0017305085202679038,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92102,1788217673.580256,-0.0030211634002625942,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92103,1788217674.2362323,-0.0030674682930111885,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92104,1788217674.8668945,-0.0015717989299446344,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92105,1788217675.4930665,-0.002173002576455474,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92106,1788217676.1056054,-0.0026062801480293274,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92107,1788217676.746749,-0.002809749450534582,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92108,1788217677.3499322,-0.002324080793187022,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92109,1788217677.9529378,-0.002758326707407832,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92110,1788217678.614847,-0.0034757405519485474,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92111,1788217679.2636452,-0.0029033448081463575,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92112,1788217679.8762972,-0.0023548719473183155,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92113,1788217680.5016122,-0.003642616793513298,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92114,1788217681.1600325,-0.003006394486874342,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92115,1788217681.811314,-0.0032677436247467995,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92116,1788217682.4331746,-0.004278798587620258,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
