body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_pos_21,joint_pos_22,joint_pos_23,joint_pos_24,joint_pos_25,joint_pos_26,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26
0.000000,0.000000,0.925000,0.999679,0.000119,0.025321,-0.000058,0.019163,-0.044722,-0.460802,0.838793,-0.429463,-0.017081,-0.016124,0.040454,-0.438201,0.834425,-0.447478,0.013808,0.000000,0.125522,-0.001011,-0.000660,-0.380132,0.000085,-0.000357,0.000630,0.124448,0.002689,0.000638,-0.386690,-0.000084,0.000346,0.000655,0.000316,-0.001327,-0.003587,-0.001445,0.004847,-0.001995,-0.000073,-0.001403,-0.004236,0.000677,0.003488,-0.001370,0.000000,-0.000679,-0.000951,-0.000026,-0.002337,0.000001,0.000011,-0.000004,0.000297,-0.000385,-0.000067,0.001237,0.000001,0.000016,-0.000013
-0.000045,-0.000023,0.925004,0.999679,0.000132,0.025322,-0.000044,0.019169,-0.044748,-0.460874,0.838764,-0.429366,-0.017121,-0.016125,0.040426,-0.438285,0.834438,-0.447408,0.013781,0.000000,0.125508,-0.001030,-0.000660,-0.380179,0.000085,-0.000357,0.000630,0.124454,0.002681,0.000637,-0.386665,-0.000084,0.000346,0.000654,0.000529,-0.001020,-0.003275,-0.001933,0.004947,-0.001904,0.000222,-0.001073,-0.004101,0.000271,0.003718,-0.001407,0.000000,-0.000617,-0.000902,-0.000004,-0.002313,0.000001,0.000024,-0.000002,0.000256,-0.000340,-0.000045,0.001226,0.000001,0.000028,-0.000012
-0.000089,-0.000049,0.925010,0.999679,0.000144,0.025325,-0.000036,0.019184,-0.044762,-0.460933,0.838716,-0.429265,-0.017157,-0.016115,0.040411,-0.438365,0.834436,-0.447329,0.013752,0.000000,0.125497,-0.001047,-0.000660,-0.380225,0.000085,-0.000357,0.000630,0.124458,0.002675,0.000636,-0.386641,-0.000084,0.000347,0.000654,0.001034,-0.000552,-0.003137,-0.002567,0.005296,-0.001967,0.000768,-0.000565,-0.004056,-0.000514,0.004346,-0.001845,0.000000,-0.000572,-0.000843,0.000023,-0.002386,0.000000,0.000040,0.000014,0.000222,-0.000262,-0.000024,0.001258,0.000001,0.000039,-0.000023
-0.000137,-0.000078,0.925017,0.999679,0.000152,0.025328,-0.000031,0.019210,-0.044770,-0.460999,0.838661,-0.429155,-0.017200,-0.016094,0.040403,-0.438447,0.834418,-0.447234,0.013707,0.000000,0.125486,-0.001063,-0.000660,-0.380274,0.000085,-0.000356,0.000631,0.124463,0.002671,0.000636,-0.386615,-0.000084,0.000348,0.000653,0.001252,-0.000332,-0.003055,-0.002481,0.005085,-0.001838,0.000961,-0.000330,-0.003871,-0.000754,0.004370,-0.001743,0.000000,-0.000540,-0.000843,0.000006,-0.002339,0.000001,0.000030,0.000024,0.000263,-0.000271,-0.000045,0.001247,0.000001,0.000025,-0.000024
-0.000179,-0.000103,0.925024,0.999679,0.000159,0.025331,-0.000027,0.019234,-0.044776,-0.461055,0.838616,-0.429062,-0.017231,-0.016076,0.040398,-0.438519,0.834406,-0.447154,0.013682,0.000000,0.125476,-0.001080,-0.000660,-0.380318,0.000085,-0.000355,0.000631,0.124468,0.002664,0.000634,-0.386591,-0.000084,0.000348,0.000653,0.001298,-0.000170,-0.002717,-0.001763,0.004210,-0.001750,0.001041,-0.000197,-0.003364,-0.000446,0.003693,-0.001423,0.000000,-0.000441,-0.000780,-0.000010,-0.002069,0.000001,0.000019,0.000017,0.000296,-0.000272,-0.000057,0.001143,0.000001,0.000013,-0.000006
-0.000215,-0.000127,0.925028,0.999679,0.000163,0.025332,-0.000026,0.019262,-0.044777,-0.461108,0.838591,-0.428986,-0.017270,-0.016053,0.040395,-0.438582,0.834400,-0.447086,0.013650,0.000000,0.125468,-0.001094,-0.000660,-0.380357,0.000085,-0.000355,0.000631,0.124474,0.002660,0.000633,-0.386569,-0.000084,0.000348,0.000653,0.001591,-0.000125,-0.002667,-0.001240,0.003835,-0.002082,0.001308,-0.000137,-0.003161,-0.000207,0.003395,-0.001430,0.000000,-0.000430,-0.000759,-0.000009,-0.002028,0.000001,0.000018,0.000019,0.000357,-0.000261,-0.000056,0.001159,-0.000000,0.000011,-0.000002
-0.000254,-0.000153,0.925032,0.999679,0.000165,0.025332,-0.000024,0.019297,-0.044781,-0.461162,0.838567,-0.428909,-0.017314,-0.016024,0.040392,-0.438646,0.834397,-0.447018,0.013625,0.000000,0.125459,-0.001111,-0.000660,-0.380399,0.000085,-0.000355,0.000632,0.124483,0.002654,0.000632,-0.386544,-0.000084,0.000348,0.000653,0.001962,-0.000128,-0.002922,-0.000778,0.003704,-0.002214,0.001732,-0.000110,-0.003402,0.000216,0.003380,-0.001919,0.000000,-0.000509,-0.000872,-0.000025,-0.002250,0.000001,0.000008,0.000019,0.000463,-0.000331,-0.000079,0.001287,0.000000,-0.000001,-0.000008
-0.000294,-0.000185,0.925034,0.999679,0.000167,0.025330,-0.000022,0.019341,-0.044782,-0.461225,0.838560,-0.428838,-0.017358,-0.015983,0.040391,-0.438718,0.834409,-0.446951,0.013573,0.000000,0.125448,-0.001129,-0.000661,-0.380447,0.000085,-0.000355,0.000632,0.124493,0.002647,0.000630,-0.386517,-0.000084,0.000348,0.000653,0.002032,-0.000101,-0.003447,0.000544,0.002989,-0.002096,0.001888,-0.000124,-0.003813,0.001346,0.002774,-0.002269,0.000000,-0.000566,-0.000901,-0.000040,-0.002273,-0.000001,-0.000001,0.000004,0.000498,-0.000369,-0.000095,0.001271,0.000000,-0.000011,-0.000009
-0.000331,-0.000212,0.925032,0.999679,0.000168,0.025328,-0.000019,0.019379,-0.044785,-0.461300,0.838589,-0.428789,-0.017398,-0.015948,0.040387,-0.438798,0.834451,-0.446907,0.013534,0.000000,0.125436,-0.001147,-0.000662,-0.380490,0.000085,-0.000355,0.000632,0.124503,0.002639,0.000628,-0.386494,-0.000084,0.000348,0.000653,0.001978,-0.000098,-0.003722,0.001810,0.002029,-0.001976,0.001758,-0.000149,-0.003991,0.002441,0.001826,-0.001618,0.000000,-0.000572,-0.000811,-0.000035,-0.002046,-0.000001,-0.000003,-0.000006,0.000477,-0.000337,-0.000083,0.001147,-0.000000,-0.000009,-0.000002
-0.000363,-0.000239,0.925028,0.999679,0.000167,0.025325,-0.000017,0.019420,-0.044786,-0.461374,0.838632,-0.428757,-0.017437,-0.015913,0.040385,-0.438878,0.834506,-0.446878,0.013509,0.000000,0.125425,-0.001162,-0.000662,-0.380529,0.000085,-0.000355,0.000632,0.124512,0.002633,0.000627,-0.386472,-0.000084,0.000348,0.000653,0.002141,-0.000053,-0.004086,0.002636,0.001536,-0.002107,0.001900,-0.000072,-0.004336,0.003219,0.001381,-0.001748,0.000000,-0.000609,-0.000809,-0.000036,-0.002017,-0.000000,-0.000008,-0.000005,0.000479,-0.000342,-0.000081,0.001143,-0.000000,-0.000009,0.000002
-0.000398,-0.000268,0.925021,0.999679,0.000167,0.025323,-0.000016,0.019464,-0.044787,-0.461463,0.838694,-0.428728,-0.017482,-0.015872,0.040384,-0.438972,0.834580,-0.446852,0.013464,0.000000,0.125412,-0.001179,-0.000663,-0.380571,0.000085,-0.000355,0.000632,0.124522,0.002625,0.000625,-0.386448,-0.000084,0.000347,0.000653,0.002217,-0.000076,-0.004699,0.003161,0.001580,-0.002281,0.002005,-0.000061,-0.005063,0.003964,0.001334,-0.002075,0.000000,-0.000682,-0.000968,-0.000058,-0.002208,0.000001,-0.000024,-0.000001,0.000481,-0.000457,-0.000107,0.001242,0.000001,-0.000020,-0.000001
-0.000435,-0.000299,0.925014,0.999679,0.000169,0.025323,-0.000014,0.019508,-0.044789,-0.461562,0.838759,-0.428694,-0.017528,-0.015833,0.040383,-0.439080,0.834665,-0.446825,0.013426,0.000000,0.125397,-0.001200,-0.000665,-0.380617,0.000085,-0.000356,0.000632,0.124531,0.002615,0.000623,-0.386422,-0.000084,0.000347,0.000653,0.001934,-0.000103,-0.004634,0.002758,0.001753,-0.002153,0.001704,-0.000081,-0.005143,0.003834,0.001375,-0.002024,0.000000,-0.000676,-0.001057,-0.000078,-0.002194,0.000002,-0.000036,0.000002,0.000426,-0.000550,-0.000127,0.001217,0.000001,-0.000030,-0.000005
-0.000468,-0.000327,0.925009,0.999679,0.000173,0.025324,-0.000012,0.019542,-0.044791,-0.461649,0.838804,-0.428658,-0.017568,-0.015804,0.040381,-0.439178,0.834733,-0.446797,0.013383,0.000000,0.125384,-0.001221,-0.000666,-0.380659,0.000085,-0.000356,0.000632,0.124539,0.002603,0.000620,-0.386399,-0.000084,0.000346,0.000653,0.001535,-0.000085,-0.003976,0.001840,0.001812,-0.001828,0.001334,-0.000078,-0.004489,0.002918,0.001448,-0.002046,0.000000,-0.000603,-0.000974,-0.000070,-0.001963,0.000001,-0.000030,-0.000001,0.000341,-0.000519,-0.000110,0.001077,0.000001,-0.000025,-0.000000
-0.000496,-0.000352,0.925006,0.999679,0.000177,0.025327,-0.000010,0.019570,-0.044793,-0.461721,0.838832,-0.428621,-0.017602,-0.015779,0.040379,-0.439260,0.834782,-0.446767,0.013344,0.000000,0.125373,-0.001239,-0.000667,-0.380696,0.000085,-0.000357,0.000632,0.124545,0.002594,0.000618,-0.386379,-0.000084,0.000346,0.000653,0.001189,-0.000226,-0.003538,0.000988,0.002152,-0.001792,0.001010,-0.000262,-0.004203,0.002401,0.001589,-0.001781,0.000000,-0.000571,-0.001007,-0.000078,-0.001913,0.000003,-0.000037,0.000010,0.000340,-0.000558,-0.000119,0.001066,0.000002,-0.000033,0.000001
