body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_pos_21,joint_pos_22,joint_pos_23,joint_pos_24,joint_pos_25,joint_pos_26,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26
0.000000,-0.000000,0.924882,0.999672,0.000258,0.025619,0.000046,0.019735,-0.044882,-0.463774,0.839828,-0.428165,-0.017904,-0.015724,0.040266,-0.441461,0.836127,-0.446487,0.013113,0.000000,0.125113,-0.001433,-0.000673,-0.381185,0.000084,-0.000355,0.000621,0.124449,0.002508,0.000607,-0.386158,-0.000082,0.000348,0.000638,0.001410,-0.000077,-0.018024,0.007752,0.003551,-0.001067,0.000449,-0.000333,-0.018373,0.008595,0.003284,-0.000781,0.000000,-0.000538,-0.001236,-0.000193,-0.000083,0.000035,-0.000109,0.000399,0.000280,-0.000639,-0.000218,0.002560,-0.000027,-0.000078,0.000396
-0.000057,-0.000012,0.924864,0.999672,0.000258,0.025619,0.000046,0.019763,-0.044884,-0.464134,0.839983,-0.428094,-0.017925,-0.015715,0.040259,-0.441829,0.836299,-0.446421,0.013097,0.000000,0.125103,-0.001458,-0.000677,-0.381187,0.000085,-0.000357,0.000629,0.124454,0.002495,0.000603,-0.386106,-0.000083,0.000346,0.000646,0.000841,-0.000165,-0.012027,0.004590,0.003316,-0.000926,0.000153,-0.000341,-0.012457,0.005583,0.002894,-0.000483,0.000000,0.000170,-0.001284,-0.000181,0.000191,0.000038,-0.000099,0.000421,0.001009,-0.000674,-0.000225,0.002803,-0.000029,-0.000083,0.000413
-0.000093,-0.000019,0.924862,0.999670,0.000258,0.025686,0.000049,0.019769,-0.044889,-0.464255,0.840012,-0.428032,-0.017941,-0.015718,0.040252,-0.441959,0.836351,-0.446371,0.013094,0.000000,0.125120,-0.001485,-0.000680,-0.381177,0.000086,-0.000359,0.000638,0.124489,0.002481,0.000598,-0.386046,-0.000084,0.000345,0.000655,-0.000300,-0.000227,-0.000960,-0.000727,0.002497,-0.000592,-0.000437,-0.000257,-0.001563,0.000536,0.001802,-0.000133,0.000000,0.001181,-0.001360,-0.000151,0.000443,0.000036,-0.000070,0.000390,0.002075,-0.000710,-0.000215,0.003120,-0.000030,-0.000080,0.000392
-0.000112,-0.000025,0.924868,0.999670,0.000263,0.025700,0.000052,0.019751,-0.044893,-0.464173,0.839954,-0.427994,-0.017949,-0.015733,0.040249,-0.441891,0.836321,-0.446349,0.013092,0.000000,0.125150,-0.001512,-0.000683,-0.381169,0.000086,-0.000360,0.000645,0.124537,0.002467,0.000594,-0.385982,-0.000084,0.000343,0.000662,-0.001256,-0.000334,0.006211,-0.003496,0.001335,-0.000046,-0.000936,-0.000185,0.005483,-0.002019,0.000565,-0.000155,0.000000,0.001129,-0.001241,-0.000101,0.000184,0.000023,-0.000030,0.000242,0.001972,-0.000613,-0.000151,0.002821,-0.000020,-0.000050,0.000257
-0.000118,-0.000022,0.924877,0.999670,0.000274,0.025670,0.000054,0.019718,-0.044902,-0.464007,0.839872,-0.427979,-0.017943,-0.015756,0.040244,-0.441740,0.836270,-0.446348,0.013087,0.000000,0.125165,-0.001534,-0.000684,-0.381170,0.000086,-0.000360,0.000648,0.124568,0.002457,0.000592,-0.385933,-0.000084,0.000342,0.000665,-0.001985,-0.000487,0.009517,-0.004128,0.000219,0.000518,-0.001429,-0.000251,0.008805,-0.002675,-0.000525,0.000201,0.000000,0.000563,-0.000981,-0.000052,-0.000216,0.000009,-0.000002,0.000092,0.001288,-0.000446,-0.000079,0.002164,-0.000009,-0.000015,0.000101
-0.000115,-0.000011,0.924886,0.999672,0.000286,0.025619,0.000057,0.019672,-0.044912,-0.463792,0.839789,-0.427985,-0.017928,-0.015790,0.040239,-0.441539,0.836214,-0.446370,0.013100,0.000000,0.125172,-0.001552,-0.000685,-0.381177,0.000086,-0.000360,0.000649,0.124589,0.002449,0.000591,-0.385895,-0.000084,0.000342,0.000666,-0.002107,-0.000601,0.012102,-0.004703,-0.000570,0.000609,-0.001411,-0.000351,0.011449,-0.003314,-0.001365,0.000557,0.000000,0.000101,-0.000785,-0.000001,-0.000622,-0.000001,0.000027,-0.000015,0.000789,-0.000285,-0.000016,0.001761,-0.000002,0.000022,-0.000006
-0.000106,-0.000010,0.924897,0.999673,0.000298,0.025558,0.000060,0.019634,-0.044926,-0.463522,0.839684,-0.428001,-0.017918,-0.015812,0.040230,-0.441282,0.836137,-0.446403,0.013110,0.000000,0.125169,-0.001566,-0.000684,-0.381195,0.000086,-0.000359,0.000647,0.124599,0.002445,0.000591,-0.385862,-0.000084,0.000343,0.000665,-0.001771,-0.000655,0.014180,-0.005941,-0.000666,0.000265,-0.000971,-0.000383,0.013642,-0.004716,-0.001352,0.000284,0.000000,-0.000497,-0.000657,0.000041,-0.001141,-0.000010,0.000053,-0.000115,0.000221,-0.000145,0.000038,0.001467,0.000004,0.000056,-0.000106
-0.000094,-0.000009,0.924912,0.999677,0.000321,0.025407,0.000069,0.019601,-0.044939,-0.463225,0.839551,-0.428012,-0.017918,-0.015829,0.040223,-0.440993,0.836025,-0.446424,0.013111,0.000000,0.125152,-0.001578,-0.000683,-0.381223,0.000086,-0.000358,0.000644,0.124598,0.002443,0.000593,-0.385836,-0.000084,0.000345,0.000662,-0.001470,-0.000666,0.013468,-0.006679,-0.000127,0.000432,-0.000774,-0.000424,0.013150,-0.005841,-0.000621,0.000197,0.000000,-0.001048,-0.000563,0.000042,-0.001532,-0.000017,0.000054,-0.000186,-0.000396,-0.000091,0.000050,0.001024,0.000010,0.000058,-0.000177
-0.000084,-0.000006,0.924927,0.999677,0.000321,0.025407,0.000069,0.019575,-0.044953,-0.462984,0.839416,-0.428007,-0.017901,-0.015843,0.040213,-0.440756,0.835904,-0.446428,0.013118,0.000000,0.125127,-0.001588,-0.000683,-0.381256,0.000086,-0.000357,0.000640,0.124584,0.002442,0.000593,-0.385821,-0.000084,0.000346,0.000658,-0.000996,-0.000557,0.010414,-0.005794,0.000229,0.000376,-0.000469,-0.000378,0.010308,-0.005385,-0.000103,0.000198,0.000000,-0.001211,-0.000445,0.000040,-0.001620,-0.000017,0.000052,-0.000188,-0.000764,-0.000052,0.000048,0.000645,0.000013,0.000050,-0.000184
-0.000076,-0.000005,0.924939,0.999679,0.000328,0.025350,0.000074,0.019561,-0.044961,-0.462808,0.839319,-0.428002,-0.017903,-0.015848,0.040208,-0.440581,0.835809,-0.446428,0.013119,0.000000,0.125104,-0.001596,-0.000682,-0.381288,0.000085,-0.000355,0.000636,0.124567,0.002441,0.000594,-0.385811,-0.000084,0.000347,0.000654,-0.000479,-0.000400,0.007951,-0.004385,0.000127,0.000056,-0.000022,-0.000255,0.008059,-0.004421,0.000037,-0.000089,0.000000,-0.001211,-0.000403,0.000038,-0.001729,-0.000016,0.000047,-0.000164,-0.000852,-0.000041,0.000034,0.000495,0.000013,0.000043,-0.000183
-0.000067,-0.000004,0.924949,0.999680,0.000331,0.025309,0.000078,0.019556,-0.044969,-0.462666,0.839241,-0.428001,-0.017899,-0.015844,0.040203,-0.440434,0.835727,-0.446426,0.013114,0.000000,0.125079,-0.001604,-0.000681,-0.381325,0.000085,-0.000355,0.000633,0.124549,0.002440,0.000595,-0.385802,-0.000084,0.000347,0.000650,-0.000079,-0.000443,0.005580,-0.003432,0.000201,0.000150,0.000186,-0.000336,0.005825,-0.003676,0.000261,0.000062,0.000000,-0.001344,-0.000521,0.000005,-0.001983,-0.000013,0.000023,-0.000152,-0.000952,-0.000150,-0.000010,0.000449,0.000014,0.000020,-0.000181
-0.000063,-0.000003,0.924956,0.999680,0.000331,0.025277,0.000081,0.019558,-0.044979,-0.462585,0.839182,-0.427994,-0.017897,-0.015840,0.040195,-0.440348,0.835662,-0.446418,0.013122,0.000000,0.125050,-0.001617,-0.000682,-0.381367,0.000085,-0.000354,0.000630,0.124529,0.002435,0.000594,-0.385793,-0.000083,0.000348,0.000647,0.000256,-0.000408,0.002375,-0.002055,0.000504,-0.000013,0.000358,-0.000367,0.002693,-0.002411,0.000582,-0.000017,0.000000,-0.001258,-0.000601,-0.000025,-0.001966,-0.000009,0.000002,-0.000106,-0.000851,-0.000253,-0.000049,0.000472,0.000012,-0.000003,-0.000127
-0.000064,-0.000004,0.924960,0.999681,0.000329,0.025262,0.000085,0.019566,-0.044985,-0.462571,0.839159,-0.427981,-0.017899,-0.015830,0.040189,-0.440326,0.835630,-0.446403,0.013113,0.000000,0.125029,-0.001628,-0.000682,-0.381404,0.000085,-0.000355,0.000629,0.124515,0.002430,0.000593,-0.385783,-0.000083,0.000347,0.000645,0.000232,-0.000339,-0.000078,-0.000431,0.000378,-0.000043,0.000269,-0.000336,0.000244,-0.000778,0.000389,-0.000162,0.000000,-0.000858,-0.000607,-0.000038,-0.001686,-0.000003,-0.000012,-0.000047,-0.000488,-0.000309,-0.000073,0.000499,0.000008,-0.000019,-0.000063
-0.000064,-0.000001,0.924959,0.999681,0.000326,0.025260,0.000089,0.019567,-0.044992,-0.462588,0.839165,-0.427979,-0.017898,-0.015829,0.040181,-0.440338,0.835631,-0.446402,0.013115,0.000000,0.125016,-0.001641,-0.000683,-0.381435,0.000085,-0.000355,0.000629,0.124509,0.002423,0.000591,-0.385773,-0.000083,0.000347,0.000644,0.000219,-0.000330,-0.001783,0.000937,0.000034,0.000059,0.000102,-0.000393,-0.001450,0.000581,0.000019,0.000170,0.000000,-0.000580,-0.000648,-0.000045,-0.001562,0.000001,-0.000024,0.000006,-0.000202,-0.000363,-0.000092,0.000596,0.000003,-0.000026,-0.000015
-0.000067,-0.000001,0.924956,0.999680,0.000321,0.025276,0.000096,0.019575,-0.044998,-0.462642,0.839196,-0.427980,-0.017897,-0.015826,0.040173,-0.440384,0.835653,-0.446402,0.013120,0.000000,0.125005,-0.001654,-0.000684,-0.381466,0.000085,-0.000356,0.000629,0.124507,0.002415,0.000589,-0.385759,-0.000083,0.000346,0.000645,0.000096,-0.000358,-0.002669,0.001118,0.000275,0.000173,-0.000085,-0.000442,-0.002339,0.000787,0.000238,0.000258,0.000000,-0.000422,-0.000745,-0.000049,-0.001612,0.000005,-0.000032,0.000054,0.000057,-0.000437,-0.000107,0.000787,-0.000002,-0.000026,0.000036
-0.000070,0.000005,0.924955,0.999680,0.000321,0.025276,0.000096,0.019571,-0.045006,-0.462695,0.839210,-0.427968,-0.017891,-0.015833,0.040164,-0.440432,0.835663,-0.446393,0.013126,0.000000,0.124999,-0.001671,-0.000685,-0.381499,0.000085,-0.000356,0.000631,0.124512,0.002405,0.000587,-0.385741,-0.000083,0.000346,0.000646,-0.000262,-0.000488,-0.002080,-0.000191,0.000906,0.000350,-0.000390,-0.000535,-0.001844,-0.000310,0.000826,0.000327,0.000000,-0.000216,-0.000761,-0.000043,-0.001520,0.000007,-0.000032,0.000072,0.000300,-0.000456,-0.000103,0.000881,-0.000004,-0.000023,0.000067
-0.000073,0.000010,0.924958,0.999680,0.000320,0.025290,0.000100,0.019565,-0.045018,-0.462725,0.839189,-0.427944,-0.017883,-0.015841,0.040151,-0.440458,0.835641,-0.446369,0.013133,0.000000,0.124997,-0.001685,-0.000686,-0.381527,0.000085,-0.000357,0.000632,0.124519,0.002397,0.000585,-0.385724,-0.000083,0.000345,0.000647,-0.000383,-0.000514,-0.000839,-0.001822,0.001501,0.000425,-0.000504,-0.000560,-0.000738,-0.001718,0.001340,0.000487,0.000000,-0.000033,-0.000685,-0.000029,-0.001309,0.000008,-0.000023,0.000071,0.000426,-0.000412,-0.000083,0.000836,-0.000004,-0.000019,0.000068
